-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.117,  0.313
-183.797, 80.186, 0.224,  0.346
-183.792, 80.173, 0.373,  0.379
-183.786, 80.159, 0.436,  0.412
-183.779, 80.143, 0.483,  0.445
-183.769, 80.125, 0.560,  0.478
-183.755, 80.103, 0.676,  0.511
-183.738, 80.077, 0.803,  0.544
-183.717, 80.045, 1.013,  0.577
-183.696, 80.008, 1.187,  0.610
-183.673, 79.965, 1.366,  0.643
-183.650, 79.916, 1.547,  0.676
-183.626, 79.862, 1.713,  0.709
-183.602, 79.803, 1.857,  0.742
-183.577, 79.741, 1.971,  0.775
-183.553, 79.677, 2.035,  0.808
-183.529, 79.612, 2.063,  0.841
-183.505, 79.547, 2.067,  0.874
-183.481, 79.483, 2.052,  0.907
-183.457, 79.419, 2.024,  0.940
-183.434, 79.357, 1.986,  0.973
-183.411, 79.297, 1.942,  1.006
-183.389, 79.238, 1.892,  1.039
-183.366, 79.180, 1.840,  1.072
-183.344, 79.125, 1.785,  1.105
-183.323, 79.072, 1.704,  1.138
-183.302, 79.021, 1.640,  1.171
-183.282, 78.972, 1.586,  1.204
-183.261, 78.924, 1.546,  1.237
-183.241, 78.877, 1.522,  1.270
-183.221, 78.830, 1.520,  1.303
-183.200, 78.783, 1.541,  1.336
-183.179, 78.734, 1.584,  1.369
-183.157, 78.683, 1.640,  1.402
-183.135, 78.630, 1.698,  1.435
-183.113, 78.576, 1.765,  1.468
-183.090, 78.519, 1.838,  1.501
-183.067, 78.459, 1.913,  1.534
-183.044, 78.397, 1.979,  1.567
-183.020, 78.334, 2.013,  1.600
-182.997, 78.271, 2.020,  1.633
-182.975, 78.207, 2.008,  1.666
-182.953, 78.145, 1.983,  1.699
-182.931, 78.084, 1.948,  1.732
